url,googleSearchVolume,totalSearchVolume,session
storyderm/skin-care/women,0,0,42
dolce-gabbana/perfume/women/eau-de-cologne,0,0,1
san-remo/groceries/food-cupboard,0,0,0
taotronics/audio-hi-fi/headphones,20,20,46
eken/security,0,0,7
ferrero-rocher/groceries,0,320,112
w7-cosmetics/makeup,10,10,19
escada/clothing/dresses,10,10,3
sealey/home-improvement/garage-storage/tool-cabinets,0,0,0
xiaomi/mi/audio-hi-fi/mobile-speakers/bluetooth,0,0,18
huawei/phones-tablets/tablets,9900,14920,2808
sothys/skin-care/face,0,0,1
adidas/tiro/clothing,0,30,21
evacut/home-improvement/tools/drills,0,0,1
the-face-shop/makeup/face/concealers,50,50,2
peak/shoes/sports/basketball,170,170,120
crocodile/bags/wallets,110,110,58
silverstone/car-accessories/tyres,1600,1600,2311
furniturerun/bedroom,0,0,0
tigernu/bags/sling,10,10,3
givenchy/makeup/face/powders,0,10,3
tomaz/bags/men,0,0,3
kyb/motorcycle-accessories,0,0,117
volkswagen/bags/wallets,210,210,93
hype/bags,170,170,4
toys/men/outdoor-play/pedal-cars,0,0,0
ticwatch/phones-tablets/smartwatches,0,70,111
iroad/camera-photo/car,10,10,102
henry-cottons/shoes/men,0,0,2
zanzea/clothing/tops,10,100,7
tiger/groceries/food-cupboard,0,30,67
lacoste/clothing/hats,30,350,47
tomei/jewellery,320,2001180,746
santa-barbara/clothing/men/polo-shirts,0,0,89
mentholatum/hair-care,0,10,13
smiggle/bags,4400,6100,1152
adabi/pets-supplies,0,0,1
palace/bags,140,280,22
tomaz/shoes,5400,6380,200
ista/pets-supplies/fish,0,0,3
adidas/clothing/pants/sweatpants,210,210,0
fossil/jewellery/bracelets,170,170,61
ums/home-improvement/electrical,0,0,31
itata/appliances,0,0,14
amgo/appliances/cookers,0,0,6
maxxis-tires/motorcycle-accessories,0,0,98
estee-lauder/advanced-night-repair,2400,3590,63
adidas/adipower,40,40,31
sony/psp,480,1120,1162
jeep/kids-clothing,10,10,7
schwarzenbach/clothing/swimwear,10,10,75
new-balance/shoes/women/sports,10,80,13
jessica-minkoff/bags/sling/shoulder,0,0,0
cartier/eyecare/glasses,10,10,50
gatsby/perfume,210,240,35
paul-frank/bags,20,60,19
lenovo/k3,90,870,0
keddo/bags,50,50,42
viking/car-accessories/tyres,1600,1670,1886
liphop/makeup/lips/lipsticks,0,0,1
babylove/gifts/sets,0,0,1
desigual/bags,390,480,88
bering/watches,390,390,71
samsung/security/door,0,320,27
wawa-cosmetics/makeup,0,0,693
marc-jacobs/clothing/tops/blouse,10,10,1
biosystem/stationery,0,0,4
huawei/phones-tablets/accessories,0,1260,13
swisscorr/hair-care,0,0,16
mi/makeup/face,0,0,0
bottega-veneta/shoes/men/sandals,0,0,2
my-dear/baby-gear/car-seats,0,0,34
gucci/bags/waist,1600,1600,851
mr-diy/outdoor-garden/lawn/gardening-tools,0,0,4
canali/men,10,10,0
3v/bedroom/beds,20,180,65
coach/bags/men,2400,8010,1280
muji/perfume,10,10,4
clear/clothing/hijabs,0,0,9
kate-spade-new-york/bags/wallets/card-holders,10,10,26
samsung/phones-tablets/bluetooth-headsets,90,140,115
ermenegildo-zegna/perfume,70,70,47
skechers/watches,1300,1320,1339
nuby/kitchen-dining/tableware/drinkware/thermoses,0,0,1
dell/computing/printers/all-in-one-printers,10,10,3
arissto/groceries/drinks/tea,720,720,94
kenko/pets-supplies,0,50,46
haier/tv-video-dvd/led,90,100,891
octki/home-decor/wall-art/stickers,0,0,6
hp/computing/printers/photo,170,170,77
oppo/reno/phones-tablets,0,5810,0
milwaukee/home-improvement/tools/drills,10,80,62
honda/car-accessories,20,160,89
scotts/supplements/vitamins/vitamin-c,0,0,32
dr-martens/shoes/men/boots/leather,0,0,1
pinko/bags,390,420,61
zte/computing,0,0,26
philips-avent/bottle,320,320,4
ecobright/lighting,0,0,14
aerin/perfume,50,60,53
poplook/clothing/hijabs,10,10,2
beyblade/toys/activity/spinning-tops,0,0,16
yves-saint-laurent/makeup/lips/lipsticks,10,20,604
prada/clothing/men/swimwear,0,0,0
ermenegildo-zegna/eyecare/men/glasses,0,0,1
